Date, Open, High, Low, Close
10/04/16, 6983.52, 7121.93, 6983.52, 7074.34
10/03/16, 6899.33, 6996.43, 6898.09, 6983.52
09/30/16, 6919.42, 6919.42, 6809.51, 6899.33
09/29/16, 6849.38, 6941.09, 6849.38, 6919.42
09/28/16, 6807.67, 6878.21, 6807.67, 6849.38
09/27/16, 6818.04, 6865.45, 6768.86, 6807.67
09/26/16, 6909.43, 6909.63, 6806.47, 6818.04
09/23/16, 6911.40, 6920.23, 6882.62, 6909.43
09/22/16, 6834.77, 6937.33, 6834.77, 6911.40
09/21/16, 6830.79, 6879.81, 6830.47, 6834.77
09/20/16, 6813.55, 6869.10, 6798.02, 6830.79
09/19/16, 6710.28, 6813.95, 6710.28, 6813.55
09/16/16, 6730.30, 6746.29, 6692.73, 6710.28
09/15/16, 6673.31, 6736.84, 6654.82, 6730.30
09/14/16, 6665.63, 6720.29, 6665.63, 6673.31
09/13/16, 6700.90, 6724.74, 6665.63, 6665.63
09/12/16, 6776.95, 6776.95, 6654.48, 6700.90
09/09/16, 6858.70, 6862.38, 6762.30, 6776.95
09/08/16, 6846.58, 6889.64, 6819.82, 6858.70
09/07/16, 6826.05, 6856.12, 6814.87, 6846.58
09/06/16, 6879.42, 6887.92, 6818.96, 6826.05
09/05/16, 6894.60, 6910.66, 6867.08, 6879.42
09/02/16, 6745.97, 6928.25, 6745.97, 6894.60
09/01/16, 6781.51, 6826.22, 6723.21, 6745.97
08/31/16, 6820.79, 6832.89, 6779.54, 6781.51
08/30/16, 6838.05, 6851.83, 6808.07, 6820.79
08/29/16, 6838.05, 6857.29, 6798.82, 6838.05
08/26/16, 6816.90, 6857.29, 6798.82, 6838.05
08/25/16, 6835.78, 6836.22, 6779.15, 6816.90
08/24/16, 6868.51, 6868.51, 6825.22, 6835.78
08/23/16, 6828.54, 6885.39, 6828.54, 6868.51
08/22/16, 6858.95, 6884.61, 6812.07, 6828.54
08/19/16, 6868.96, 6871.48, 6840.94, 6858.95
08/18/16, 6859.15, 6893.35, 6850.61, 6868.96
08/17/16, 6893.92, 6920.76, 6849.90, 6859.15
08/16/16, 6941.19, 6941.19, 6893.92, 6893.92
08/15/16, 6916.02, 6955.34, 6907.17, 6941.19
08/12/16, 6914.71, 6931.04, 6896.04, 6916.02
08/11/16, 6866.42, 6914.71, 6812.73, 6914.71
08/10/16, 6851.30, 6866.42, 6820.04, 6866.42
08/09/16, 6809.13, 6863.10, 6807.76, 6851.30
08/08/16, 6793.47, 6829.47, 6781.47, 6809.13
08/05/16, 6740.16, 6802.41, 6738.57, 6793.47
08/04/16, 6634.40, 6749.67, 6615.83, 6740.16
08/03/16, 6645.40, 6673.63, 6621.42, 6634.40
08/02/16, 6693.95, 6694.14, 6630.76, 6645.40
08/01/16, 6724.43, 6769.41, 6678.45, 6693.95
07/29/16, 6721.06, 6740.47, 6691.13, 6724.43
07/28/16, 6750.43, 6762.72, 6718.90, 6721.06
07/27/16, 6724.03, 6780.05, 6723.71, 6750.43
07/26/16, 6710.13, 6744.80, 6708.58, 6724.03
07/25/16, 6730.48, 6756.13, 6691.03, 6710.13
07/22/16, 6699.89, 6735.94, 6663.72, 6730.48
07/21/16, 6728.99, 6732.07, 6694.52, 6699.89
07/20/16, 6697.37, 6736.57, 6694.36, 6728.99
07/19/16, 6695.42, 6711.69, 6660.87, 6697.37
07/18/16, 6669.24, 6715.58, 6653.67, 6695.42
07/15/16, 6654.47, 6669.24, 6616.51, 6669.24
07/14/16, 6670.40, 6743.42, 6648.40, 6654.47
07/13/16, 6680.69, 6717.17, 6654.64, 6670.40
07/12/16, 6682.86, 6703.09, 6663.66, 6680.69
07/11/16, 6590.64, 6695.07, 6590.64, 6682.86
07/08/16, 6533.79, 6605.83, 6515.24, 6590.64
07/07/16, 6463.59, 6579.25, 6463.59, 6533.79
07/06/16, 6545.37, 6580.32, 6432.47, 6463.59
07/05/16, 6522.26, 6561.58, 6472.25, 6545.37
07/04/16, 6577.83, 6612.13, 6514.81, 6522.26
07/01/16, 6504.33, 6587.44, 6498.56, 6577.83
06/30/16, 6360.06, 6504.33, 6309.98, 6504.33
06/29/16, 6140.39, 6360.06, 6140.39, 6360.06
06/28/16, 5982.20, 6170.26, 5982.20, 6140.39
06/27/16, 6138.69, 6138.69, 5958.66, 5982.20
06/24/16, 6338.10, 6338.55, 5788.74, 6138.69
06/23/16, 6261.19, 6380.58, 6261.19, 6338.10
06/22/16, 6226.55, 6315.62, 6222.01, 6261.19
06/21/16, 6204.00, 6250.19, 6156.23, 6226.55
06/20/16, 6021.09, 6236.53, 6021.09, 6204.00
06/17/16, 5950.48, 6046.10, 5950.48, 6021.09
06/16/16, 5966.80, 5966.80, 5899.97, 5950.48
06/15/16, 5923.53, 6007.49, 5923.39, 5966.80
06/14/16, 6044.97, 6044.97, 5921.72, 5923.53
06/13/16, 6115.76, 6115.76, 6044.97, 6044.97
06/10/16, 6231.89, 6231.89, 6097.24, 6115.76
06/09/16, 6301.52, 6301.73, 6229.07, 6231.89
06/08/16, 6284.53, 6304.51, 6263.80, 6301.52
06/07/16, 6273.40, 6322.60, 6273.40, 6284.53
06/06/16, 6209.63, 6301.56, 6209.63, 6273.40
06/03/16, 6185.61, 6251.74, 6168.19, 6209.63
06/02/16, 6191.93, 6220.27, 6173.05, 6185.61
06/01/16, 6230.79, 6233.18, 6151.90, 6191.93
05/31/16, 6270.79, 6290.07, 6230.11, 6230.79
05/30/16, 6270.79, 6275.90, 6250.27, 6270.79
05/27/16, 6265.65, 6275.90, 6250.27, 6270.79
05/26/16, 6262.85, 6281.73, 6243.49, 6265.65
05/25/16, 6219.26, 6270.25, 6219.26, 6262.85
05/24/16, 6136.43, 6231.85, 6109.58, 6219.26
05/23/16, 6156.32, 6173.06, 6122.57, 6136.43
05/20/16, 6053.35, 6156.50, 6053.35, 6156.32
05/19/16, 6165.80, 6165.80, 6050.21, 6053.35
05/18/16, 6167.77, 6169.33, 6115.99, 6165.80
05/17/16, 6151.40, 6215.88, 6147.16, 6167.77
05/16/16, 6138.50, 6157.24, 6092.21, 6151.40
05/13/16, 6104.19, 6138.50, 6060.10, 6138.50
05/12/16, 6162.49, 6193.21, 6094.14, 6104.19
05/11/16, 6156.65, 6172.72, 6131.22, 6162.49
05/10/16, 6114.81, 6180.19, 6114.81, 6156.65
05/09/16, 6125.70, 6177.60, 6108.37, 6114.81
05/06/16, 6117.25, 6129.90, 6054.74, 6125.70
