"Date","Price","Open","High","Low","Vol.","Change %"
"May 21, 2015","9,578.56","9,647.53","9,647.53","9,536.16","2.18B","-1.10%"
"May 20, 2015","9,685.31","9,726.02","9,736.09","9,662.86","2.18B","-0.32%"
"May 19, 2015","9,716.77","9,623.95","9,722.80","9,623.95","2.44B","1.15%"
"May 18, 2015","9,606.10","9,603.75","9,612.44","9,550.76","2.15B","0.28%"
"May 15, 2015","9,579.48","9,638.06","9,644.83","9,552.86","2.00B","-0.33%"
"May 14, 2015","9,610.83","9,730.33","9,734.55","9,600.24","2.20B","-1.16%"
"May 13, 2015","9,724.11","9,697.17","9,743.33","9,687.66","2.13B","0.45%"
"May 12, 2015","9,680.73","9,637.71","9,702.67","9,637.21","2.14M","0.18%"
"May 11, 2015","9,663.72","9,763.94","9,797.19","9,635.88","2.38M","-0.29%"
"May 08, 2015","9,692.00","9,724.29","9,760.51","9,692.00","2.01M","-0.12%"
"May 07, 2015","9,704.11","9,789.82","9,789.82","9,704.11","2.32M","-1.16%"
"May 06, 2015","9,818.20","9,780.39","9,829.43","9,735.94","2.35M","-0.02%"
"May 05, 2015","9,820.13","9,849.13","9,855.64","9,788.13","2.13M","-0.25%"
"May 04, 2015","9,845.04","9,853.51","9,871.65","9,800.48","2.30M","0.25%"
"Apr 30, 2015","9,820.05","9,841.15","9,894.90","9,820.05","2.64M","-0.34%"
"Apr 29, 2015","9,853.83","9,934.82","9,978.87","9,842.50","2.86M","-1.03%"
"Apr 28, 2015","9,956.83","9,998.08","10,014.28","9,918.01","2.77M","-0.16%"
"Apr 27, 2015","9,973.12","9,941.18","10,002.58","9,937.04","3.38M","0.60%"
"Apr 24, 2015","9,913.28","9,839.71","9,961.31","9,839.71","3.79M","1.18%"
"Apr 23, 2015","9,797.49","9,655.30","9,814.88","9,655.30","3.64M","1.92%"
"Apr 22, 2015","9,613.00","9,549.61","9,630.79","9,549.61","2.13M","0.83%"
"Apr 21, 2015","9,533.98","9,554.80","9,598.86","9,512.64","2.10M","-0.20%"
"Apr 20, 2015","9,552.85","9,541.83","9,572.65","9,508.57","1.93M","-0.19%"
"Apr 17, 2015","9,570.93","9,608.60","9,615.52","9,570.93","2.05M","-0.89%"
"Apr 16, 2015","9,656.87","9,578.71","9,656.87","9,578.71","2.22M","1.22%"
"Apr 15, 2015","9,540.06","9,629.70","9,654.15","9,508.14","2.44M","-1.06%"
"Apr 14, 2015","9,642.22","9,646.28","9,664.10","9,631.19","2.03M","-0.25%"
"Apr 13, 2015","9,666.52","9,622.64","9,666.52","9,622.59","1.86M","0.51%"
"Apr 10, 2015","9,617.70","9,626.88","9,648.34","9,582.84","2.00M","0.52%"
"Apr 09, 2015","9,568.04","9,597.21","9,663.05","9,559.71","2.17M","-0.04%"
"Apr 08, 2015","9,571.97","9,646.07","9,654.67","9,562.00","1.98M","-0.73%"
"Apr 07, 2015","9,641.90","9,619.97","9,653.97","9,613.33","2.01M","0.43%"
"Apr 02, 2015","9,600.32","9,535.98","9,628.95","9,535.98","1.86M","0.97%"
"Apr 01, 2015","9,507.66","9,575.11","9,575.11","9,503.53","1.79M","-0.82%"
"Mar 31, 2015","9,586.44","9,568.38","9,594.75","9,527.87","2.18M","0.68%"
"Mar 30, 2015","9,521.87","9,533.38","9,556.25","9,503.53","1.78M","0.19%"
"Mar 27, 2015","9,503.72","9,593.07","9,608.44","9,503.72","2.25M","-1.20%"
"Mar 26, 2015","9,619.12","9,579.63","9,619.12","9,540.03","2.19M","-0.50%"
"Mar 25, 2015","9,667.83","9,739.25","9,743.58","9,653.47","1.97M","-0.66%"
"Mar 24, 2015","9,731.66","9,759.96","9,768.71","9,701.33","1.95M","-0.27%"
"Mar 23, 2015","9,758.09","9,759.88","9,775.63","9,729.81","2.21M","0.09%"
"Mar 20, 2015","9,749.69","9,706.35","9,749.69","9,705.32","2.58M","0.13%"
"Mar 19, 2015","9,736.73","9,668.01","9,745.59","9,668.01","2.39M","0.86%"
"Mar 18, 2015","9,653.43","9,563.74","9,653.43","9,561.50","2.20M","1.19%"
"Mar 17, 2015","9,539.44","9,555.10","9,629.80","9,539.44","2.02M","0.28%"
"Mar 16, 2015","9,512.91","9,583.45","9,590.76","9,512.91","1.77M","-0.69%"
"Mar 13, 2015","9,579.35","9,608.44","9,633.51","9,579.35","1.94M","-0.17%"
"Mar 12, 2015","9,596.00","9,537.23","9,608.02","9,530.74","2.36M","0.76%"
"Mar 11, 2015","9,523.18","9,503.28","9,561.81","9,472.54","2.23M","-0.14%"
"Mar 10, 2015","9,536.53","9,566.25","9,583.78","9,520.33","2.01M","-0.28%"
"Mar 09, 2015","9,562.98","9,617.04","9,617.04","9,549.76","1.79M","-0.86%"
"Mar 06, 2015","9,645.77","9,587.59","9,645.77","9,574.55","2.12M","0.53%"
"Mar 05, 2015","9,595.09","9,627.04","9,631.04","9,564.44","1.92M","-0.28%"
