"Date","Price","Open","High","Low","Change %"
"Jun 13, 2012","55.570","55.805","55.930","55.520","-0.42%"
"Jun 12, 2012","55.805","55.740","56.075","55.655","0.19%"
"Jun 11, 2012","55.700","55.130","55.825","55.020","0.50%"
"Jun 08, 2012","55.425","54.945","55.660","54.945","0.84%"
"Jun 07, 2012","54.965","55.370","55.370","54.835","-0.55%"
"Jun 06, 2012","55.270","55.645","55.645","55.270","-0.50%"
"Jun 05, 2012","55.550","55.655","55.920","55.280","-0.19%"
"Jun 04, 2012","55.655","55.505","55.680","55.252","0.20%"
"Jun 01, 2012","55.545","56.085","56.290","55.450","-0.88%"
"May 31, 2012","56.040","56.235","56.530","55.740","-0.18%"
"May 30, 2012","56.140","55.675","56.250","55.675","0.93%"
"May 29, 2012","55.620","55.190","55.890","55.110","0.78%"
"May 28, 2012","55.190","55.295","55.370","55.015","-0.33%"
"May 25, 2012","55.375","55.655","56.090","55.240","-0.33%"
"May 24, 2012","55.560","56.000","56.392","55.560","-0.71%"
"May 23, 2012","55.960","55.395","56.225","55.260","1.11%"
"May 22, 2012","55.345","55.035","55.470","54.725","0.66%"
"May 21, 2012","54.980","54.460","55.060","54.440","1.02%"
"May 18, 2012","54.425","54.475","54.915","54.325","0.12%"
"May 17, 2012","54.360","54.500","54.590","54.210","0.03%"
"May 16, 2012","54.345","53.795","54.520","53.735","1.02%"
"May 15, 2012","53.795","53.965","54.120","53.585","-0.24%"
"May 14, 2012","53.925","53.665","53.975","53.535","0.54%"
"May 11, 2012","53.635","53.225","53.695","53.155","0.70%"
"May 10, 2012","53.260","53.830","53.920","52.955","-0.92%"
"May 09, 2012","53.755","53.125","53.885","53.105","1.19%"
"May 08, 2012","53.125","52.910","53.320","52.675","0.53%"
"May 07, 2012","52.845","53.425","53.775","52.825","-1.18%"
"May 04, 2012","53.475","53.415","53.925","53.325","0.26%"
"May 03, 2012","53.335","52.965","53.475","52.845","0.66%"
"May 02, 2012","52.985","52.600","53.035","52.495","0.91%"
"May 01, 2012","52.505","52.735","52.735","52.505","-0.30%"
"Apr 30, 2012","52.665","52.525","52.755","52.405","0.23%"
"Apr 27, 2012","52.545","52.355","52.730","52.265","0.26%"
"Apr 26, 2012","52.410","52.550","52.660","52.365","-0.10%"
"Apr 25, 2012","52.460","52.685","52.755","52.450","-0.25%"
"Apr 24, 2012","52.590","52.510","52.875","52.330","0.39%"
"Apr 23, 2012","52.385","52.090","52.585","51.945","0.60%"
"Apr 20, 2012","52.075","52.145","52.205","51.955","-0.02%"
"Apr 19, 2012","52.085","51.805","52.180","51.625","0.69%"
"Apr 18, 2012","51.730","51.480","51.840","51.345","0.65%"
